,split_random_state,torch_random_state,filename,case_sensitive,num_stopwords,kernel_lengths,epochs,learning_rate,seq_len,vocab_size,dropout_portion,train_accuracy,test_accuracy
23,,,disaster_tweets_cnn_pipeline_26110.json,,0,[2],,0.001,32,2000,,0.5790395562691578,0.5459317585301837
21,,,disaster_tweets_cnn_pipeline_26113.json,,0,[2],,0.001,32,2000,,0.5864837250036491,0.5905511811023622
18,,,disaster_tweets_cnn_pipeline_26105.json,,0,[2],,0.001,32,2000,,0.5894030068603123,0.594488188976378
22,,,disaster_tweets_cnn_pipeline_26104.json,,0,[2],,0.001,32,2000,,0.5851700481681507,0.6010498687664042
3,,,disaster_tweets_cnn_pipeline_26119.json,,0,[2],,0.001,32,2000,,0.6648664428550577,0.6286089238845144
7,1460820.0,475689.0,disaster_tweets_cnn_pipeline_24348.json,True,0,"[2, 3, 4, 5]",10.0,0.001,32,2000,0.2,0.8788498029484747,0.6496062992125984
2,,,disaster_tweets_cnn_pipeline_172823.json,,0,"[1, 2, 3, 4, 5, 6]",,0.002,40,2000,,0.9033717705444461,0.6614173228346457
15,1459833.0,656168.0,disaster_tweets_cnn_pipeline_24331.json,True,0,"[2, 3, 4, 5]",10.0,0.001,32,2000,0.2,0.846007882061013,0.6653543307086615
20,,,disaster_tweets_cnn_pipeline_173147.json,,0,"[1, 2, 3, 4, 5, 6]",25.0,0.001,40,2000,,0.7918552036199095,0.7099737532808399
13,,,disaster_tweets_cnn_pipeline_173132.json,,0,"[2, 3, 4, 5]",,0.0015,40,2000,,0.8038242592322289,0.7152230971128609
1,1461049.0,841794.0,disaster_tweets_cnn_pipeline_24352.json,True,0,"[2, 3, 4, 5]",20.0,0.001,32,2000,0.2,0.9398627937527368,0.7257217847769029
16,1460013.0,48167.0,disaster_tweets_cnn_pipeline_24334.json,True,0,"[2, 3, 4, 5]",10.0,0.001,32,2000,0.2,0.8419208874616845,0.7283464566929134
9,1461348.0,945794.0,disaster_tweets_cnn_pipeline_24358.json,True,0,"[2, 3, 4, 5]",20.0,0.001,32,2000,0.2,0.9407385783097358,0.7296587926509186
8,1461523.0,968824.0,disaster_tweets_cnn_pipeline_24359.json,True,0,"[2, 3, 4, 5]",10.0,0.001,32,2000,0.2,0.8725733469566487,0.7467191601049868
17,1562131.0,186757.0,disaster_tweets_cnn_pipeline_26036.json,True,0,"[2, 3, 4, 5]",10.0,0.001,32,2000,0.2,0.8743249160706467,0.7506561679790026
19,,,disaster_tweets_cnn_pipeline_32808.json,,0,"[1, 2, 3, 4, 5, 6]",,0.001,40,2000,,0.7685009487666035,0.7519685039370079
5,1566490.0,202925.0,disaster_tweets_cnn_pipeline_26108.json,True,0,[2],10.0,0.001,32,2000,0.2,0.8471755948036783,0.7532808398950132
12,1460223.0,417554.0,disaster_tweets_cnn_pipeline_24338.json,True,0,"[2, 3, 4, 5]",10.0,0.001,32,2000,0.2,0.8709677419354839,0.7585301837270341
11,1460331.0,155048.0,disaster_tweets_cnn_pipeline_24339.json,True,0,"[2, 3, 4, 5]",10.0,0.001,32,2000,0.2,0.8365202160268574,0.7611548556430446
10,1461995.0,433994.0,disaster_tweets_cnn_pipeline_24368.json,True,0,"[2, 3, 4, 5]",20.0,0.001,32,2000,0.2,0.9366515837104072,0.7611548556430446
6,1461626.0,667307.0,disaster_tweets_cnn_pipeline_24361.json,True,0,"[2, 3, 4, 5]",10.0,0.001,32,2000,0.2,0.8652751423149905,0.7703412073490814
0,1460940.0,433994.0,disaster_tweets_cnn_pipeline_24365.json,True,0,"[2, 3, 4, 5]",20.0,0.001,32,2000,0.2,0.939132973288571,0.7834645669291339
4,1460940.0,433994.0,disaster_tweets_cnn_pipeline_24350.json,True,0,"[2, 3, 4, 5]",10.0,0.001,32,2000,0.2,0.8727193110494819,0.7900262467191601
14,1460940.0,433994.0,disaster_tweets_cnn_pipeline_24363.json,True,0,"[2, 3, 4, 5]",10.0,0.001,32,2000,0.2,0.8727193110494819,0.7900262467191601
