most_common,Arabic,English,Japanese,German,Chinese,Korean,Russian,Czech,Dutch,Scottish,Vietnamese,Portuguese,Polish,Italian,French,Greek,Irish,Spanish
Arabic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
English,0.0015,0.9536532170119957,0.0,0.04696132596685083,0.0,0.0,0.00021258503401360543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1552346570397112,0.0049261083743842365,0.2672413793103448,0.08389261744966443
Japanese,0.0005,0.0,0.9959636730575177,0.0,0.0,0.031914893617021274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German,0.0005,0.0,0.0,0.9654696132596685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05054151624548736,0.0,0.017241379310344827,0.020134228187919462
Chinese,0.0,0.0029989094874591058,0.0020181634712411706,0.0027624309392265192,0.8470149253731343,0.14893617021276595,0.00031887755102040814,0.0,0.003367003367003367,0.0,0.0821917808219178,0.0,0.0,0.0014104372355430183,0.0036101083032490976,0.0,0.0,0.0
Korean,0.0,0.0016357688113413304,0.0,0.0027624309392265192,0.0037313432835820895,0.8936170212765957,0.0,0.0,0.0,0.0,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russian,0.0,0.004089422028353326,0.0010090817356205853,0.019337016574585635,0.0037313432835820895,0.0425531914893617,0.9946853741496599,0.0038535645472061657,0.0,0.0,0.0273972602739726,0.0,0.02158273381294964,0.0,0.010830324909747292,0.0,0.008620689655172414,0.010067114093959731
Czech,0.0,0.0029989094874591058,0.0010090817356205853,0.019337016574585635,0.0,0.0,0.0,0.9402697495183044,0.0,0.0,0.0,0.0,0.02877697841726619,0.0,0.0036101083032490976,0.0,0.0,0.0
Dutch,0.0,0.0021810250817884407,0.0010090817356205853,0.031767955801104975,0.0,0.0,0.0,0.0,0.8619528619528619,0.0,0.0,0.0,0.0,0.0028208744710860366,0.01444043321299639,0.0,0.004310344827586207,0.006711409395973154
Scottish,0.0,0.025081788440567066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0036101083032490976,0.0,0.02586206896551724,0.0
Vietnamese,0.0,0.0005452562704471102,0.0,0.0013812154696132596,0.0,0.05319148936170213,0.0,0.0,0.0,0.0,0.8904109589041096,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portuguese,0.0,0.0008178844056706652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43243243243243246,0.0,0.0014104372355430183,0.0,0.0,0.0,0.12751677852348994
Polish,0.0,0.0002726281352235551,0.0,0.0013812154696132596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9496402877697842,0.0,0.01444043321299639,0.0,0.0,0.003355704697986577
Italian,0.0,0.0005452562704471102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007194244604316547,0.9478138222849083,0.007220216606498195,0.0,0.0,0.10738255033557047
French,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9638989169675091,0.0,0.01293103448275862,0.02348993288590604
Greek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Irish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Spanish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014104372355430183,0.0,0.0,0.0,0.9966442953020134
