Open,Name,Release,Size,Link
True,T5,2019-10-01,11.0,Paper
True,mT5,2021-03-01,13.0,Paper
True,PanGu-α,2021-05-01,13.0,Paper
True,CPM-2,2021-05-01,198.0,Paper
True,T0,2021-10-01,11.0,Paper
True,GPT-NeoX-20B,2022-02-01,20.0,Paper
True,CodeGen,2022-03-01,16.0,Paper
True,Tk-Instruct,2022-04-01,11.0,Paper
True,UL2,2022-02-01,20.0,Paper
True,OPT,2022-05-01,175.0,Paper
True,NLLB,2022-07-01,55.0,Paper
True,BLOOM,2022-07-01,176.0,Paper
True,GLM,2022-08-01,130.0,Paper
True,Flan-T5,2022-10-01,11.0,Paper
True,mT0,2022-11-01,13.0,Paper
True,Galatica,2022-11-01,120.0,Paper
True,BLOOMZ,2022-11-01,176.0,Paper
True,OPT-IML,2022-12-01,175.0,Paper
True,Pythia,2023-01-01,12.0,Paper
True,LLaMA,2023-02-01,65.0,Paper
True,Vicuna,2023-03-01,13.0,Blog
True,Koala,2023-04-01,13.0,Blog
False,GShard,2020-01-01,600.0,Paper
False,GPT-3,2020-05-01,175.0,Paper
False,LaMDA,2021-05-01,137.0,Paper
False,HyperCLOVA,2021-06-01,82.0,Paper
False,Codex,2021-07-01,12.0,Paper
False,ERNIE 3.0,2021-07-01,10.0,Paper
False,Jurassic-1,2021-08-01,178.0,Paper
False,FLAN,2021-10-01,137.0,Paper
False,MT-NLG,2021-10-01,530.0,Paper
False,Yuan 1.0,2021-10-01,245.0,Paper
False,Anthropic,2021-12-01,52.0,Paper
False,WebGPT,2021-12-01,175.0,Paper
False,Gopher,2021-12-01,280.0,Paper
False,ERNIE 3.0 Titan,2021-12-01,260.0,Paper
False,GLaM,2021-12-01,1200.0,Paper
False,InstructGPT,2022-01-01,175.0,Paper
False,AlphaCode,2022-02-01,41.0,Paper
False,Chinchilla,2022-03-01,70.0,Paper
False,PaLM,2022-04-01,540.0,Paper
False,Cohere,2022-06-01,54.0,Homepage
False,YaLM,2022-06-01,100.0,Github
False,AlexaTM,2022-08-01,20.0,Paper
False,Luminous,2022-09-01,70.0,Docs
False,Sparrow,2022-09-01,70.0,Paper
False,WeLM,2022-09-01,10.0,Paper
False,U-PaLM,2022-10-01,540.0,Paper
False,Flan-PaLM,2022-10-01,540.0,Paper
False,Flan-U-PaLM,2022-10-01,540.0,Paper
False,Alpaca,2023-03-01,7.0,Blog
False,GPT-4,2023-03-01,,Paper
False,PanGU-Σ,2023-03-01,1085.0,Paper
